time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
28000,2025-09-08 23:34:16,39.3932810716129,-76.9727132966245,0,Available with any HD 360 subscription,Available with any HD 360 subscription,591.93245070037,0.328084,0,0,0,19,5,16.556,591.93245070037,0,0,0,0,0,0,97.3, 5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,113.7,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,6,P-GPS,"SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). Remote ID functionality normal (Code: 30331)"
28100,2025-09-08 23:34:16,39.3932810589602,-76.9727132881688,0,,,591.93245070037,0.328084,0,0.0051956366492,0.0051956366492,19,5,16.556,591.93245070037,0,0,0.0051956366492,0,0,0,97.3, 5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,113.7,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28200,2025-09-08 23:34:17,39.3932810370078,-76.9727133614211,0,,,591.93245070037,0.328084,0,0.0222080387684,0.0273482948384,19,5,16.556,591.93245070037,0,0,0.0222080387684,0,0,0,97.3, 5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,113.7,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28300,2025-09-08 23:34:17,39.3932810203575,-76.9727133559849,0,,,591.93245070037,0.328084,0,0.0250966543464,0.033613518136,19,5,16.556,591.93245070037,0,0,0.0250966543464,0,0,0,97.3, 5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,113.7,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28400,2025-09-08 23:34:17,39.3932810580392,-76.9727133193712,0,,,591.93245070037,0.328084,0,0.0081031170572,0.050806103988,19,5,16.556,591.93245070037,0,0,0.0250966543464,0,0,0,97.3, 5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,113.7,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28500,2025-09-08 23:34:17,39.3932810538574,-76.9727133146625,0,,,591.93245070037,0.328084,0,0.008236056694,0.052828741848,19,5,16.556,591.93245070037,0,0,0.0250966543464,0,0,0,97.3, 5.2, 0,0,0,364,364,364,1684,-100,-100,-100,100,113.7,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28600,2025-09-08 23:34:17,39.3932810526687,-76.9727133906169,0,,,591.93245070037,0.328084,0,0.02738845232,0.074249018124,19,5,16.556,591.93245070037,0,0,0.02738845232,0,0,0,97.3, 5.2, 0,0,0,994,785,364,1684,-5,-36,-100,100,113.6,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28700,2025-09-08 23:34:17,39.3932810498693,-76.9727133971756,0,,,591.93245070037,0.328084,0,0.0294402240392,0.076361551,19,5,16.556,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
28800,2025-09-08 23:34:17,39.3932810692698,-76.9727133439831,0,,,591.93245070037,0.328084,0,0.0133804794308,0.0929461972,19,5,16.556,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,"Setting new Return-To-Home altitude to 65m (213 ft). Data Recorder File Index is 68. Setting new Maximum Flight Altitude to 120m (394 ft)"
28900,2025-09-08 23:34:17,39.3932810712274,-76.9727133443767,0,,,591.93245070037,0.328084,0,0.0134648626356,0.093668966252,19,5,16.556,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.138,4.14,4.14,4.138,0,0,0.791,75.56,591.93245070037,0,41,Motors_Started,
29000,2025-09-08 23:34:17,39.3932810707444,-76.9727133872746,0,,,591.93245070037,0.328084,0,0.025561516566,0.105765751416,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,
29100,2025-09-08 23:34:18,39.3932810694433,-76.9727133890996,0,,,591.93245070037,0.328084,0,0.026086122882,0.106465882672,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,
29200,2025-09-08 23:34:18,39.3932811101332,-76.9727133471758,0,,,591.93245070037,0.328084,0,0.020016896966,0.125442589316,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,
29300,2025-09-08 23:34:18,39.3932811094028,-76.9727133478035,0,,,591.93245070037,0.328084,0,0.0199583011636,0.125762471216,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,
29400,2025-09-08 23:34:18,39.3932810538199,-76.9727133779417,0,,,591.93245070037,0.328084,0,0.0238293642796,0.147750332812,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,
29500,2025-09-08 23:34:18,39.393281053806,-76.9727133764368,0,,,591.93245070037,0.328084,0,0.0234228025868,0.148174873508,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,
29600,2025-09-08 23:34:18,39.3932810875822,-76.9727133156727,0,,,591.93245070037,0.328084,0,0.0079241472352,0.169279204892,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,41,Motors_Started,"SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Remote ID functionality normal (Code: 30331)"
29700,2025-09-08 23:34:18,39.3932810858216,-76.972713314226,0,,,591.93245070037,0.328084,0,0.007176673458,0.170040031688,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,10,Assisted_Takeoff,
29800,2025-09-08 23:34:18,39.3932810330434,-76.9727133492696,0,,,591.93245070037,0.328084,0,0.0204538392372,0.191683405084,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,10,Assisted_Takeoff,
29900,2025-09-08 23:34:18,39.3932810322659,-76.9727133489911,0,,,591.93245070037,0.328084,0,0.0205936358296,0.191977696432,19,5,16.41,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.105,4.107,4.107,4.106,0,0,3.152,75.56,591.93245070037,0,10,Assisted_Takeoff,
30000,2025-09-08 23:34:18,39.3932810600825,-76.9727133146736,0,,,591.93245070037,0.328084,0,0.0066027561168,0.206000006592,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30100,2025-09-08 23:34:18,39.3932810606426,-76.9727133143092,0,,,591.93245070037,0.328084,0,0.006394029076,0.20622868114,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30200,2025-09-08 23:34:19,39.3932810266372,-76.9727133727826,0,,,591.93245070037,0.328084,0,0.0270254601824,0.226862540068,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30300,2025-09-08 23:34:19,39.3932810291185,-76.9727133769315,0,,,591.93245070037,0.328084,0,0.0274425205632,0.228341870824,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30400,2025-09-08 23:34:19,39.3932810684366,-76.972713320089,0,,,591.93245070037,0.328084,0,0.0067167324984,0.249851385948,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30500,2025-09-08 23:34:19,39.3932810667242,-76.9727133180756,0,,,591.93245070037,0.328084,0,0.0063058072884,0.25069554608,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30600,2025-09-08 23:34:19,39.3932810485543,-76.9727133453647,0,,,591.93245070037,0.328084,0,0.0161133207256,0.260851714384,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30700,2025-09-08 23:34:19,39.3932810484365,-76.9727133451887,0,,,591.93245070037,0.328084,0,0.0160935700688,0.260917331184,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30800,2025-09-08 23:34:19,39.3932810757594,-76.9727133084573,0,,,591.93245070037,0.328084,0,0.0036633203272,0.275292331644,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
30900,2025-09-08 23:34:19,39.3932810739924,-76.9727133088328,0,,,591.93245070037,0.328084,0,0.0035500001136,0.275945546888,19,5,16.486,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.104,4.111,4.114,4.117,0,0,2.997,75.74,591.93245070037,0,10,Assisted_Takeoff,
31000,2025-09-08 23:34:19,39.3932810316619,-76.9727133609499,0,,,591.93245070037,0.328084,0,0.023268373448,0.29726378904,18,5,16.502,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.125,4.127,4.127,4.125,0,0,1.672,75.74,591.93245070037,0,10,Assisted_Takeoff,
31100,2025-09-08 23:34:20,39.3932810310279,-76.9727133611079,0,,,591.93245070037,0.328084,0,0.023448491564,0.297499353352,18,5,16.502,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.125,4.127,4.127,4.125,0,0,1.672,75.74,591.93245070037,0,10,Assisted_Takeoff,
31200,2025-09-08 23:34:20,39.3932810574267,-76.9727132848473,0,,,591.93245070037,0.328084,0,0.0061495080708,0.321060377728,18,5,16.502,591.93245070037,0,0,0.0294402240392,0,0,0,97.3, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.125,4.127,4.127,4.125,0,0,1.672,75.74,591.93245070037,0,10,Assisted_Takeoff,
31300,2025-09-08 23:34:20,39.3932810549882,-76.9727132795413,0,,,591.93245070037,0.328084,0,0.007745407072,0.322800863348,18,5,16.502,591.93245070037,0,0,0.0294402240392,0,0,0,97.4, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,113.6,0,0,100,4.125,4.127,4.127,4.125,0,0,1.672,75.74,591.93245070037,0,10,Assisted_Takeoff,
